TRACT_NAME,GEOID,STATE,COUNTY,TRACT,MEDIAN_RENT,MEDIAN_INCOME,POP_TOTAL,POP_WHITE
Census Tract 4001; Alameda County; California,06001400100,06,001,400100,3501,250001,3094,2107
Census Tract 4059.02; Alameda County; California,06001405902,06,001,405902,1840,70536,2994,377
Census Tract 4060; Alameda County; California,06001406000,06,001,406000,1406,58197,4638,820
Census Tract 4061; Alameda County; California,06001406100,06,001,406100,1830,67373,5379,650
Census Tract 4062.01; Alameda County; California,06001406201,06,001,406201,1531,66518,5191,293
Census Tract 4062.02; Alameda County; California,06001406202,06,001,406202,1450,51958,4958,223
Census Tract 4063; Alameda County; California,06001406300,06,001,406300,1754,59722,4529,303
Census Tract 4064; Alameda County; California,06001406400,06,001,406400,1834,67708,2456,677
Census Tract 4065; Alameda County; California,06001406500,06,001,406500,1786,71167,6405,830
Census Tract 4066.01; Alameda County; California,06001406601,06,001,406601,1902,72208,4476,943
Census Tract 4066.02; Alameda County; California,06001406602,06,001,406602,1665,73214,2638,348
Census Tract 4067; Alameda County; California,06001406700,06,001,406700,1898,148007,5718,2486
Census Tract 4068; Alameda County; California,06001406800,06,001,406800,2496,122525,3905,1072
Census Tract 4069; Alameda County; California,06001406900,06,001,406900,2284,150949,4535,1575
Census Tract 4070; Alameda County; California,06001407000,06,001,407000,1946,81959,6315,1105
Census Tract 4071.01; Alameda County; California,06001407101,06,001,407101,1690,65144,3547,292
Census Tract 4071.02; Alameda County; California,06001407102,06,001,407102,1626,85375,4464,324
Census Tract 4072; Alameda County; California,06001407200,06,001,407200,1489,67008,6483,727
Census Tract 4073; Alameda County; California,06001407300,06,001,407300,2237,82639,2401,295
Census Tract 4074; Alameda County; California,06001407400,06,001,407400,1402,51944,4268,259
Census Tract 4075; Alameda County; California,06001407500,06,001,407500,1215,49643,3687,292
Census Tract 4076; Alameda County; California,06001407600,06,001,407600,1979,87599,6793,1605
Census Tract 4077; Alameda County; California,06001407700,06,001,407700,2277,123107,4261,1893
Census Tract 4078; Alameda County; California,06001407800,06,001,407800,1703,119188,2710,922
Census Tract 4079; Alameda County; California,06001407900,06,001,407900,1727,115500,3101,1354
Census Tract 4080; Alameda County; California,06001408000,06,001,408000,3501,207750,2767,1625
Census Tract 4081; Alameda County; California,06001408100,06,001,408100,1985,182083,7552,2214
Census Tract 4082; Alameda County; California,06001408200,06,001,408200,2068,84496,4743,922
Census Tract 4083; Alameda County; California,06001408300,06,001,408300,2257,123939,4555,987
Census Tract 4084; Alameda County; California,06001408400,06,001,408400,2097,74801,4098,261
Census Tract 4085; Alameda County; California,06001408500,06,001,408500,1683,87292,5540,46
Census Tract 4086; Alameda County; California,06001408600,06,001,408600,1978,76375,6364,458
Census Tract 4087; Alameda County; California,06001408700,06,001,408700,1121,46786,7411,695
Census Tract 4088; Alameda County; California,06001408800,06,001,408800,963,40981,7045,323
Census Tract 4089; Alameda County; California,06001408900,06,001,408900,1285,45045,4240,197
Census Tract 4090; Alameda County; California,06001409000,06,001,409000,1870,77284,4914,194
Census Tract 4091; Alameda County; California,06001409100,06,001,409100,2042,72697,2388,210
Census Tract 4092; Alameda County; California,06001409200,06,001,409200,2003,77339,3832,77
Census Tract 4093; Alameda County; California,06001409300,06,001,409300,1728,66288,5577,121
Census Tract 4094; Alameda County; California,06001409400,06,001,409400,2032,86286,5032,157
Census Tract 4095; Alameda County; California,06001409500,06,001,409500,1802,46750,4502,456
Census Tract 4096; Alameda County; California,06001409600,06,001,409600,1456,58750,5313,65
Census Tract 4097; Alameda County; California,06001409700,06,001,409700,1327,40870,5061,306
Census Tract 4098; Alameda County; California,06001409800,06,001,409800,2170,104125,3405,449
Census Tract 4099; Alameda County; California,06001409900,06,001,409900,2702,190813,3904,995
Census Tract 4100; Alameda County; California,06001410000,06,001,410000,3096,196500,3053,985
Census Tract 4101; Alameda County; California,06001410100,06,001,410100,1811,90388,2893,320
Census Tract 4102; Alameda County; California,06001410200,06,001,410200,2068,79675,3545,266
Census Tract 4103; Alameda County; California,06001410300,06,001,410300,1920,44167,3967,39
Census Tract 4104; Alameda County; California,06001410400,06,001,410400,1776,115268,4633,303
Census Tract 4105; Alameda County; California,06001410500,06,001,410500,1320,59402,3056,533
Census Tract 4201; Alameda County; California,06001420100,06,001,420100,2783,204352,2656,1307
Census Tract 4202; Alameda County; California,06001420200,06,001,420200,2614,159563,3225,1135
Census Tract 4203.01; Alameda County; California,06001420301,06,001,420301,2495,122578,2466,894
Census Tract 4203.02; Alameda County; California,06001420302,06,001,420302,2344,125486,2381,967
Census Tract 4204.01; Alameda County; California,06001420401,06,001,420401,2307,77083,1438,398
Census Tract 4204.02; Alameda County; California,06001420402,06,001,420402,2071,92000,1607,524
Census Tract 4205; Alameda County; California,06001420500,06,001,420500,2689,137000,2474,1181
Census Tract 4206; Alameda County; California,06001420600,06,001,420600,2789,181678,3521,2282
Census Tract 4211; Alameda County; California,06001421100,06,001,421100,2306,244276,2127,1572
Census Tract 4212; Alameda County; California,06001421200,06,001,421200,2863,250001,3503,2371
Census Tract 4213; Alameda County; California,06001421300,06,001,421300,1194,128125,4041,2886
Census Tract 4214; Alameda County; California,06001421400,06,001,421400,2848,235000,1770,1302
Census Tract 4215; Alameda County; California,06001421500,06,001,421500,2877,222321,4122,3322
Census Tract 4216; Alameda County; California,06001421600,06,001,421600,2284,228547,3896,2727
Census Tract 4217; Alameda County; California,06001421700,06,001,421700,2046,114725,3427,2364
Census Tract 4218; Alameda County; California,06001421800,06,001,421800,2928,179868,2193,1444
Census Tract 4219; Alameda County; California,06001421900,06,001,421900,2329,162143,4109,2351
Census Tract 4220; Alameda County; California,06001422000,06,001,422000,3257,137841,2346,1140
Census Tract 4221; Alameda County; California,06001422100,06,001,422100,1979,135000,3103,1590
Census Tract 4222; Alameda County; California,06001422200,06,001,422200,1989,108523,3239,1847
Census Tract 4223; Alameda County; California,06001422300,06,001,422300,2280,113257,3626,1951
Census Tract 4224; Alameda County; California,06001422400,06,001,422400,2268,86250,3970,1566
Census Tract 4225; Alameda County; California,06001422500,06,001,422500,1860,49286,4546,1982
Census Tract 4227; Alameda County; California,06001422700,06,001,422700,1895,,5015,1645
Census Tract 4228; Alameda County; California,06001422800,06,001,422800,1822,30833,9183,2150
Census Tract 4229.01; Alameda County; California,06001422901,06,001,422901,2078,41902,1889,659
Census Tract 4229.02; Alameda County; California,06001422902,06,001,422902,1866,65285,2370,738
Census Tract 4230; Alameda County; California,06001423000,06,001,423000,2345,81759,4526,2716
Census Tract 4231; Alameda County; California,06001423100,06,001,423100,2123,59643,4187,1638
Census Tract 4232; Alameda County; California,06001423200,06,001,423200,1975,74861,2874,1258
Census Tract 4233; Alameda County; California,06001423300,06,001,423300,1754,95927,3438,1621
Census Tract 4234; Alameda County; California,06001423400,06,001,423400,2324,121122,5581,2568
Census Tract 4235; Alameda County; California,06001423500,06,001,423500,1947,106964,3537,1989
Census Tract 4236.01; Alameda County; California,06001423601,06,001,423601,2211,162386,2717,1656
Census Tract 4236.02; Alameda County; California,06001423602,06,001,423602,2183,60625,6739,3409
Census Tract 4237; Alameda County; California,06001423700,06,001,423700,2049,102566,3537,1982
Census Tract 4238; Alameda County; California,06001423800,06,001,423800,2628,190625,3460,2549
Census Tract 4239.01; Alameda County; California,06001423901,06,001,423901,2210,94563,2205,1055
Census Tract 4239.02; Alameda County; California,06001423902,06,001,423902,2506,142206,1541,1013
Census Tract 4240.01; Alameda County; California,06001424001,06,001,424001,2050,88018,3716,1648
Census Tract 4240.02; Alameda County; California,06001424002,06,001,424002,1396,102826,2591,1053
Census Tract 4251.01; Alameda County; California,06001425101,06,001,425101,2458,84680,1677,818
Census Tract 4251.02; Alameda County; California,06001425102,06,001,425102,2931,130555,3901,1000
Census Tract 4251.03; Alameda County; California,06001425103,06,001,425103,2916,117688,3108,861
Census Tract 4251.04; Alameda County; California,06001425104,06,001,425104,2487,124043,4070,1833
Census Tract 4261; Alameda County; California,06001426100,06,001,426100,3501,250001,6160,4152
Census Tract 4262; Alameda County; California,06001426200,06,001,426200,3501,250001,4852,3090
Census Tract 4271; Alameda County; California,06001427100,06,001,427100,3501,206118,4146,2285
Census Tract 4272; Alameda County; California,06001427200,06,001,427200,2223,107535,4371,1423
Census Tract 4273; Alameda County; California,06001427300,06,001,427300,1915,136681,5357,1857
Census Tract 4276; Alameda County; California,06001427600,06,001,427600,2340,95691,4839,1260
Census Tract 4277; Alameda County; California,06001427700,06,001,427700,2336,103333,4883,3003
Census Tract 4278; Alameda County; California,06001427800,06,001,427800,2237,148542,4397,2164
Census Tract 4279; Alameda County; California,06001427900,06,001,427900,2311,105836,4764,2038
Census Tract 4280; Alameda County; California,06001428000,06,001,428000,2214,99956,2969,744
Census Tract 4281; Alameda County; California,06001428100,06,001,428100,2181,162350,4661,2435
Census Tract 4282; Alameda County; California,06001428200,06,001,428200,2655,105398,6449,3030
Census Tract 4283.01; Alameda County; California,06001428301,06,001,428301,3501,188419,6832,2150
Census Tract 4283.02; Alameda County; California,06001428302,06,001,428302,3501,206780,6527,2812
Census Tract 4284; Alameda County; California,06001428400,06,001,428400,2382,107083,4870,1825
Census Tract 4285; Alameda County; California,06001428500,06,001,428500,2677,143529,3417,1686
Census Tract 4286; Alameda County; California,06001428600,06,001,428600,2832,125446,3283,1160
Census Tract 4287; Alameda County; California,06001428700,06,001,428700,2343,137292,5111,1281
Census Tract 4301.01; Alameda County; California,06001430101,06,001,430101,2859,211029,6501,2400
Census Tract 4301.02; Alameda County; California,06001430102,06,001,430102,2809,185956,2434,1379
Census Tract 4302; Alameda County; California,06001430200,06,001,430200,2829,181250,7403,3554
Census Tract 4303; Alameda County; California,06001430300,06,001,430300,3170,168750,4094,1889
Census Tract 4304; Alameda County; California,06001430400,06,001,430400,3281,208929,2148,1008
Census Tract 4305; Alameda County; California,06001430500,06,001,430500,2265,92139,6087,1158
Census Tract 4306; Alameda County; California,06001430600,06,001,430600,2929,179605,6786,2161
Census Tract 4307; Alameda County; California,06001430700,06,001,430700,2493,131250,3905,1398
Census Tract 4308; Alameda County; California,06001430800,06,001,430800,2587,101784,5796,1787
Census Tract 4309; Alameda County; California,06001430900,06,001,430900,2216,119028,5474,1280
Census Tract 4310; Alameda County; California,06001431000,06,001,431000,2502,96250,3143,771
Census Tract 4311; Alameda County; California,06001431100,06,001,431100,2567,105329,3538,1007
Census Tract 4312; Alameda County; California,06001431200,06,001,431200,2739,104646,5572,2168
Census Tract 4321; Alameda County; California,06001432100,06,001,432100,2583,183735,3828,1232
Census Tract 4322; Alameda County; California,06001432200,06,001,432200,2231,92702,3940,1006
Census Tract 4323; Alameda County; California,06001432300,06,001,432300,1938,156531,4781,1218
Census Tract 4324; Alameda County; California,06001432400,06,001,432400,2247,96500,6332,884
Census Tract 4325.01; Alameda County; California,06001432501,06,001,432501,1906,123232,4852,785
Census Tract 4325.02; Alameda County; California,06001432502,06,001,432502,2099,112483,5111,438
Census Tract 4326.01; Alameda County; California,06001432601,06,001,432601,2211,89630,4267,911
Census Tract 4326.02; Alameda County; California,06001432602,06,001,432602,2090,98571,3109,520
Census Tract 4327; Alameda County; California,06001432700,06,001,432700,2018,96481,2654,1383
Census Tract 4328; Alameda County; California,06001432800,06,001,432800,3039,130202,4037,1557
Census Tract 4330; Alameda County; California,06001433000,06,001,433000,2503,102118,3674,1284
Census Tract 4331.02; Alameda County; California,06001433102,06,001,433102,2505,102703,4064,354
Census Tract 4331.03; Alameda County; California,06001433103,06,001,433103,2076,64615,3460,770
Census Tract 4331.04; Alameda County; California,06001433104,06,001,433104,2114,78603,4584,728
Census Tract 4332; Alameda County; California,06001433200,06,001,433200,1712,84818,8135,721
Census Tract 4333; Alameda County; California,06001433300,06,001,433300,2748,102823,7265,1053
Census Tract 4334; Alameda County; California,06001433400,06,001,433400,3042,127601,5824,784
Census Tract 4335; Alameda County; California,06001433500,06,001,433500,2006,75319,4084,1076
Census Tract 4336; Alameda County; California,06001433600,06,001,433600,1716,82457,5871,1629
Census Tract 4337; Alameda County; California,06001433700,06,001,433700,2239,84813,3206,231
Census Tract 4338.01; Alameda County; California,06001433801,06,001,433801,2160,97155,3290,391
Census Tract 4338.02; Alameda County; California,06001433802,06,001,433802,2190,104289,4084,396
Census Tract 4339; Alameda County; California,06001433900,06,001,433900,2024,80148,6850,373
Census Tract 4340; Alameda County; California,06001434000,06,001,434000,1857,55962,5378,777
Census Tract 4351.02; Alameda County; California,06001435102,06,001,435102,2828,129191,5595,1199
Census Tract 4351.03; Alameda County; California,06001435103,06,001,435103,,184875,7325,2491
Census Tract 4351.04; Alameda County; California,06001435104,06,001,435104,2327,119681,6615,760
Census Tract 4352; Alameda County; California,06001435200,06,001,435200,3392,129375,4530,1021
Census Tract 4353; Alameda County; California,06001435300,06,001,435300,2350,114484,4909,1061
Census Tract 4354; Alameda County; California,06001435400,06,001,435400,1988,83310,5077,1165
Census Tract 4355; Alameda County; California,06001435500,06,001,435500,2198,81275,4023,1013
Census Tract 4356.01; Alameda County; California,06001435601,06,001,435601,2123,80325,4813,604
Census Tract 4356.02; Alameda County; California,06001435602,06,001,435602,2103,88273,5506,968
Census Tract 4357; Alameda County; California,06001435700,06,001,435700,2076,100610,4913,912
Census Tract 4358; Alameda County; California,06001435800,06,001,435800,2728,106860,5802,1166
Census Tract 4359; Alameda County; California,06001435900,06,001,435900,3063,117841,5138,1280
Census Tract 4360; Alameda County; California,06001436000,06,001,436000,1871,116087,4932,1250
Census Tract 4361; Alameda County; California,06001436100,06,001,436100,1678,119706,5991,877
Census Tract 4362; Alameda County; California,06001436200,06,001,436200,2176,78125,4060,385
Census Tract 4363.01; Alameda County; California,06001436301,06,001,436301,2348,192837,5275,300
Census Tract 4363.02; Alameda County; California,06001436302,06,001,436302,2274,94112,3766,518
Census Tract 4364.02; Alameda County; California,06001436402,06,001,436402,2663,173882,2754,1028
Census Tract 4364.03; Alameda County; California,06001436403,06,001,436403,2102,103750,4403,1189
Census Tract 4364.04; Alameda County; California,06001436404,06,001,436404,3000,153333,3216,1529
Census Tract 4365; Alameda County; California,06001436500,06,001,436500,2267,86952,5010,639
Census Tract 4366.01; Alameda County; California,06001436601,06,001,436601,2283,80095,6554,636
Census Tract 4366.02; Alameda County; California,06001436602,06,001,436602,2159,103178,5250,328
Census Tract 4367; Alameda County; California,06001436700,06,001,436700,2752,123705,3533,303
Census Tract 4368; Alameda County; California,06001436800,06,001,436800,2538,108867,4244,444
Census Tract 4369; Alameda County; California,06001436900,06,001,436900,2257,107545,6766,441
Census Tract 4370; Alameda County; California,06001437000,06,001,437000,3094,109583,3617,684
Census Tract 4371.01; Alameda County; California,06001437101,06,001,437101,2820,162303,7458,711
Census Tract 4371.02; Alameda County; California,06001437102,06,001,437102,2155,81914,4018,339
Census Tract 4372; Alameda County; California,06001437200,06,001,437200,2518,105606,8975,981
Census Tract 4373; Alameda County; California,06001437300,06,001,437300,2042,62201,3031,315
Census Tract 4374; Alameda County; California,06001437400,06,001,437400,2606,100096,3609,582
Census Tract 4375; Alameda County; California,06001437500,06,001,437500,2240,96250,4663,442
Census Tract 4376; Alameda County; California,06001437600,06,001,437600,2406,107188,3385,331
Census Tract 4377.01; Alameda County; California,06001437701,06,001,437701,2144,72159,3729,254
Census Tract 4377.02; Alameda County; California,06001437702,06,001,437702,2254,100268,4027,186
Census Tract 4378; Alameda County; California,06001437800,06,001,437800,2646,150980,5107,702
Census Tract 4379; Alameda County; California,06001437900,06,001,437900,2382,93490,2283,261
Census Tract 4380; Alameda County; California,06001438000,06,001,438000,3080,137418,3676,674
Census Tract 4381; Alameda County; California,06001438100,06,001,438100,3302,154208,7541,989
Census Tract 4382.01; Alameda County; California,06001438201,06,001,438201,2843,107500,4671,207
Census Tract 4382.03; Alameda County; California,06001438203,06,001,438203,2646,129113,4073,954
Census Tract 4382.04; Alameda County; California,06001438204,06,001,438204,2600,100000,5745,649
Census Tract 4383; Alameda County; California,06001438300,06,001,438300,3193,142500,3849,221
Census Tract 4384; Alameda County; California,06001438400,06,001,438400,2647,107171,2741,223
Census Tract 4401; Alameda County; California,06001440100,06,001,440100,2833,104861,2423,890
Census Tract 4402; Alameda County; California,06001440200,06,001,440200,2558,125129,5368,179
Census Tract 4403.01; Alameda County; California,06001440301,06,001,440301,2176,123102,6812,1911
Census Tract 4403.04; Alameda County; California,06001440304,06,001,440304,2230,142675,4391,569
Census Tract 4403.05; Alameda County; California,06001440305,06,001,440305,3501,159583,4021,664
Census Tract 4403.06; Alameda County; California,06001440306,06,001,440306,3132,112723,3706,294
Census Tract 4403.07; Alameda County; California,06001440307,06,001,440307,1764,102500,4449,673
Census Tract 4403.08; Alameda County; California,06001440308,06,001,440308,2374,113750,6303,891
Census Tract 4403.31; Alameda County; California,06001440331,06,001,440331,2793,132500,3373,356
Census Tract 4403.32; Alameda County; California,06001440332,06,001,440332,3501,180234,3102,276
Census Tract 4403.33; Alameda County; California,06001440333,06,001,440333,3131,127708,2516,174
Census Tract 4403.34; Alameda County; California,06001440334,06,001,440334,2714,163663,3902,361
Census Tract 4403.36; Alameda County; California,06001440336,06,001,440336,2883,156579,4554,895
Census Tract 4403.37; Alameda County; California,06001440337,06,001,440337,3501,250001,2720,224
Census Tract 4403.38; Alameda County; California,06001440338,06,001,440338,2782,132250,3858,902
Census Tract 4411; Alameda County; California,06001441100,06,001,441100,2926,175159,4584,2138
Census Tract 4412; Alameda County; California,06001441200,06,001,441200,2595,168722,7151,2144
Census Tract 4413.01; Alameda County; California,06001441301,06,001,441301,3080,167845,3338,769
Census Tract 4413.02; Alameda County; California,06001441302,06,001,441302,2780,210580,5882,646
Census Tract 4414.01; Alameda County; California,06001441401,06,001,441401,2917,186000,7667,1636
Census Tract 4414.02; Alameda County; California,06001441402,06,001,441402,3026,189806,5231,755
Census Tract 4415.01; Alameda County; California,06001441501,06,001,441501,3291,200781,5496,562
Census Tract 4415.03; Alameda County; California,06001441503,06,001,441503,3367,240658,7528,580
Census Tract 4415.21; Alameda County; California,06001441521,06,001,441521,3394,211406,6045,570
Census Tract 4415.22; Alameda County; California,06001441522,06,001,441522,3431,178438,5131,1049
Census Tract 4415.23; Alameda County; California,06001441523,06,001,441523,3141,188679,4032,417
Census Tract 4415.24; Alameda County; California,06001441524,06,001,441524,3246,250001,3989,228
Census Tract 4415.25; Alameda County; California,06001441525,06,001,441525,3136,212344,2362,225
Census Tract 4416.01; Alameda County; California,06001441601,06,001,441601,3501,185208,4418,1249
Census Tract 4416.02; Alameda County; California,06001441602,06,001,441602,2717,131141,7280,1751
Census Tract 4417.01; Alameda County; California,06001441701,06,001,441701,2143,100444,3645,631
Census Tract 4417.02; Alameda County; California,06001441702,06,001,441702,2650,97813,5108,901
Census Tract 4418; Alameda County; California,06001441800,06,001,441800,3054,180354,6611,2184
Census Tract 4419.21; Alameda County; California,06001441921,06,001,441921,3354,153089,3779,707
Census Tract 4419.23; Alameda County; California,06001441923,06,001,441923,2801,130038,5762,902
Census Tract 4419.24; Alameda County; California,06001441924,06,001,441924,3201,191306,7540,1256
Census Tract 4419.26; Alameda County; California,06001441926,06,001,441926,2465,113510,4307,666
Census Tract 4419.27; Alameda County; California,06001441927,06,001,441927,2825,152381,4316,885
Census Tract 4419.28; Alameda County; California,06001441928,06,001,441928,3033,171132,4015,640
Census Tract 4419.29; Alameda County; California,06001441929,06,001,441929,2989,142188,3175,604
Census Tract 4420; Alameda County; California,06001442000,06,001,442000,,214554,3122,444
Census Tract 4421; Alameda County; California,06001442100,06,001,442100,3501,238830,5279,437
Census Tract 4422; Alameda County; California,06001442200,06,001,442200,3501,249917,7451,874
Census Tract 4423.01; Alameda County; California,06001442301,06,001,442301,3050,136573,4931,992
Census Tract 4423.02; Alameda County; California,06001442302,06,001,442302,2246,133850,6164,550
Census Tract 4424; Alameda County; California,06001442400,06,001,442400,3292,138359,6362,1523
Census Tract 4425.01; Alameda County; California,06001442501,06,001,442501,2723,101864,3287,463
Census Tract 4425.02; Alameda County; California,06001442502,06,001,442502,2600,138750,3731,640
Census Tract 4426.01; Alameda County; California,06001442601,06,001,442601,3495,168750,3936,837
Census Tract 4426.02; Alameda County; California,06001442602,06,001,442602,2496,143393,4779,1157
Census Tract 4427; Alameda County; California,06001442700,06,001,442700,3181,199154,2998,921
Census Tract 4428; Alameda County; California,06001442800,06,001,442800,3501,180800,3087,779
Census Tract 4429; Alameda County; California,06001442900,06,001,442900,3025,169947,7942,884
Census Tract 4430.01; Alameda County; California,06001443001,06,001,443001,3337,154178,2721,388
Census Tract 4430.02; Alameda County; California,06001443002,06,001,443002,2972,141696,6915,899
Census Tract 4431.02; Alameda County; California,06001443102,06,001,443102,3501,250001,4657,447
Census Tract 4431.03; Alameda County; California,06001443103,06,001,443103,3501,250001,4107,702
Census Tract 4431.04; Alameda County; California,06001443104,06,001,443104,3043,200324,5301,755
Census Tract 4431.05; Alameda County; California,06001443105,06,001,443105,3501,240031,4616,373
Census Tract 4432; Alameda County; California,06001443200,06,001,443200,,250001,3451,411
Census Tract 4433.01; Alameda County; California,06001443301,06,001,443301,3501,250001,4178,731
Census Tract 4433.21; Alameda County; California,06001443321,06,001,443321,2520,148750,3323,107
Census Tract 4433.22; Alameda County; California,06001443322,06,001,443322,2875,232679,3284,561
Census Tract 4441; Alameda County; California,06001444100,06,001,444100,,163367,7198,2273
Census Tract 4442; Alameda County; California,06001444200,06,001,444200,2460,137773,6271,1113
Census Tract 4443.01; Alameda County; California,06001444301,06,001,444301,2597,200865,3774,974
Census Tract 4443.03; Alameda County; California,06001444303,06,001,444303,,,0,0
Census Tract 4443.04; Alameda County; California,06001444304,06,001,444304,2707,224511,6809,668
Census Tract 4444; Alameda County; California,06001444400,06,001,444400,2716,103565,5174,587
Census Tract 4445; Alameda County; California,06001444500,06,001,444500,2732,160398,7024,1402
Census Tract 4446.01; Alameda County; California,06001444601,06,001,444601,3501,225543,6005,1070
Census Tract 4446.02; Alameda County; California,06001444602,06,001,444602,2790,205000,4890,751
Census Tract 4501.01; Alameda County; California,06001450101,06,001,450101,3292,143246,6725,1271
Census Tract 4501.02; Alameda County; California,06001450102,06,001,450102,3501,232292,7880,1691
Census Tract 4502; Alameda County; California,06001450200,06,001,450200,2882,118077,5809,1946
Census Tract 4503; Alameda County; California,06001450300,06,001,450300,3362,147875,4967,2291
Census Tract 4504; Alameda County; California,06001450400,06,001,450400,2934,170184,7676,2491
